   datafolder   mlmethod ntree mtry nodesize inscore   outscore  sd        
125 fft_cz1300ms rrf      1000  30   20       0.001   0.8659591 0.5152477 0.017637547
126 fft_cz1300ms rrf      1000  30   20       0.010   0.8680618 0.5055314 0.010483113
127 fft_cz1300ms rrf      1000  30   20       0.050   0.8674605 0.5184112 0.017813580
128 fft_cz1300ms rrf      1000  30   20       0.100   0.8677795 0.5101453 0.020665533
129 fft_cz1300ms rrf      1000  70    1       0.001   1.0000000 0.5128158 0.012854359
130 fft_cz1300ms rrf      1000  70    1       0.010   1.0000000 0.5137918 0.010156490
131 fft_cz1300ms rrf      1000  70    1       0.050   1.0000000 0.5089059 0.011312534
132 fft_cz1300ms rrf      1000  70    1       0.100   1.0000000 0.5137747 0.008872937
133 fft_cz1300ms rrf      1000  70    5       0.001   0.9724011 0.5044598 0.004057830
134 fft_cz1300ms rrf      1000  70    5       0.010   0.9728960 0.5060729 0.014341094
135 fft_cz1300ms rrf      1000  70    5       0.050   0.9735446 0.5085753 0.013406155
136 fft_cz1300ms rrf      1000  70    5       0.100   0.9730472 0.5195787 0.011694315
137 fft_cz1300ms rrf      1000  70   10       0.001   0.9250490 0.4998803 0.007201468
138 fft_cz1300ms rrf      1000  70   10       0.010   0.9272006 0.5112871 0.007654980
139 fft_cz1300ms rrf      1000  70   10       0.050   0.9243961 0.5165305 0.013409535
140 fft_cz1300ms rrf      1000  70   10       0.100   0.9254320 0.5163057 0.014876460
141 fft_cz1300ms rrf      1000  70   20       0.001   0.8673955 0.5134884 0.019718802
142 fft_cz1300ms rrf      1000  70   20       0.010   0.8653292 0.5213584 0.012880427
143 fft_cz1300ms rrf      1000  70   20       0.050   0.8634692 0.5169160 0.017706436
144 fft_cz1300ms rrf      1000  70   20       0.100   0.8673796 0.5201118 0.014728255

   datafolder   mlmethod ntree mtry nodesize inscore   outscore  sd         
1  fft_cz1300ms rf         2   10    1       0.9170469 0.5053206 0.014632620
2  fft_cz1300ms rf         2   10    5       0.8870736 0.5060055 0.020480021
3  fft_cz1300ms rf         2   10   10       0.8550557 0.5116395 0.007117266
4  fft_cz1300ms rf         2   10   20       0.7811882 0.5019294 0.006927593
5  fft_cz1300ms rf         2   30    1       0.9202579 0.5080983 0.012360676
6  fft_cz1300ms rf         2   30    5       0.9005771 0.5097158 0.014555473
7  fft_cz1300ms rf         2   30   10       0.8688534 0.5105961 0.011302944
8  fft_cz1300ms rf         2   30   20       0.8082045 0.5129386 0.007013198
9  fft_cz1300ms rf         2   70    1       0.9165959 0.5012645 0.006648704
10 fft_cz1300ms rf         2   70    5       0.8996346 0.5024232 0.007325920
11 fft_cz1300ms rf         2   70   10       0.8806004 0.5008424 0.010172189
12 fft_cz1300ms rf         2   70   20       0.8353184 0.5001798 0.015295309
13 fft_cz1300ms rf         5   10    1       0.9871054 0.5068670 0.018478369
14 fft_cz1300ms rf         5   10    5       0.9775145 0.4992237 0.017567308
15 fft_cz1300ms rf         5   10   10       0.9536406 0.5154381 0.017557999
16 fft_cz1300ms rf         5   10   20       0.8999902 0.5094947 0.024868899
17 fft_cz1300ms rf         5   30    1       0.9885888 0.5029561 0.022680422
18 fft_cz1300ms rf         5   30    5       0.9802003 0.5119169 0.010548691
19 fft_cz1300ms rf         5   30   10       0.9652298 0.5039527 0.012688472
20 fft_cz1300ms rf         5   30   20       0.9259088 0.5010305 0.044394332
21 fft_cz1300ms rf         5   70    1       0.9875304 0.5005140 0.014917835
22 fft_cz1300ms rf         5   70    5       0.9833729 0.5130632 0.009352936
23 fft_cz1300ms rf         5   70   10       0.9726601 0.4995783 0.018852714
24 fft_cz1300ms rf         5   70   20       0.9336293 0.5094006 0.015697181
25 fft_cz1300ms rf        10   10    1       0.9993611 0.5033124 0.024757911
26 fft_cz1300ms rf        10   10    5       0.9975000 0.5057541 0.017289068
27 fft_cz1300ms rf        10   10   10       0.9922945 0.4897243 0.022777772
28 fft_cz1300ms rf        10   10   20       0.9630371 0.5114174 0.016457308
29 fft_cz1300ms rf        10   30    1       0.9993552 0.4980024 0.012191122
30 fft_cz1300ms rf        10   30    5       0.9984492 0.4967840 0.017106057
31 fft_cz1300ms rf        10   30   10       0.9948489 0.4992665 0.026701712
32 fft_cz1300ms rf        10   30   20       0.9769592 0.5080699 0.042420458
33 fft_cz1300ms rf        10   70    1       0.9991781 0.5024274 0.011969549
34 fft_cz1300ms rf        10   70    5       0.9985303 0.5088506 0.029000300
35 fft_cz1300ms rf        10   70   10       0.9960314 0.5109322 0.025686276
36 fft_cz1300ms rf        10   70   20       0.9816943 0.5131392 0.010465824
37 fft_cz1300ms rf        20   10    1       0.9999951 0.5036748 0.025195147
38 fft_cz1300ms rf        20   10    5       0.9999279 0.5045478 0.014428589
39 fft_cz1300ms rf        20   10   10       0.9995271 0.5125967 0.016652412
40 fft_cz1300ms rf        20   10   20       0.9917444 0.5192266 0.011190199
41 fft_cz1300ms rf        20   30    1       0.9999974 0.5116414 0.035429144
42 fft_cz1300ms rf        20   30    5       0.9999841 0.5077442 0.031128413
43 fft_cz1300ms rf        20   30   10       0.9997745 0.5133137 0.043230252
44 fft_cz1300ms rf        20   30   20       0.9962251 0.5010077 0.018159960
45 fft_cz1300ms rf        20   70    1       0.9999963 0.4972275 0.022499991
46 fft_cz1300ms rf        20   70    5       0.9999636 0.4946489 0.012024580
47 fft_cz1300ms rf        20   70   10       0.9998585 0.4999153 0.022972902
48 fft_cz1300ms rf        20   70   20       0.9969852 0.5084109 0.020294916
49 fft_cz1300ms rf        30   10    1       1.0000000 0.5063682 0.017605807
50 fft_cz1300ms rf        30   10    5       0.9999986 0.5003744 0.012199843
51 fft_cz1300ms rf        30   10   10       0.9999620 0.4961954 0.019056462
52 fft_cz1300ms rf        30   10   20       0.9971968 0.5205633 0.026043586
53 fft_cz1300ms rf        30   30    1       0.9999995 0.5166124 0.015409502
